"SerieId","CountryId","YearId","value"
"SH.PRG.SYPH.ZS","ARG","YR2011","1.09"
"SH.PRG.SYPH.ZS","BRA","YR2011","0.7"
"SH.PRG.SYPH.ZS","CHL","YR2011","0.13"
"SH.PRG.SYPH.ZS","COL","YR2011","1"
"SH.PRG.SYPH.ZS","BOL","YR2011","1.6"
"SH.PRG.SYPH.ZS","ECU","YR2011",""
"SH.PRG.SYPH.ZS","PRY","YR2011","3.37"
"SH.PRG.SYPH.ZS","PER","YR2011",""
"SH.PRG.SYPH.ZS","URY","YR2011",""
"SH.PRG.SYPH.ZS","VEN","YR2011",""
"SN.ITK.DEFC.ZS","ARG","YR2011","3.3"
"SN.ITK.DEFC.ZS","BRA","YR2011","3.4"
"SN.ITK.DEFC.ZS","CHL","YR2011","3.4"
"SN.ITK.DEFC.ZS","COL","YR2011","12.1"
"SN.ITK.DEFC.ZS","BOL","YR2011","17.2"
"SN.ITK.DEFC.ZS","ECU","YR2011","8.5"
"SN.ITK.DEFC.ZS","PRY","YR2011","7.8"
"SN.ITK.DEFC.ZS","PER","YR2011","7.7"
"SN.ITK.DEFC.ZS","URY","YR2011","2.5"
"SN.ITK.DEFC.ZS","VEN","YR2011","2.5"
"SH.STA.MALN.ZS","ARG","YR2011",""
"SH.STA.MALN.ZS","BRA","YR2011",""
"SH.STA.MALN.ZS","CHL","YR2011",""
"SH.STA.MALN.ZS","COL","YR2011",""
"SH.STA.MALN.ZS","BOL","YR2011",""
"SH.STA.MALN.ZS","ECU","YR2011",""
"SH.STA.MALN.ZS","PRY","YR2011",""
"SH.STA.MALN.ZS","PER","YR2011","4.2"
"SH.STA.MALN.ZS","URY","YR2011","4"
"SH.STA.MALN.ZS","VEN","YR2011",""
"SH.STA.MALN.FE.ZS","ARG","YR2011",""
"SH.STA.MALN.FE.ZS","BRA","YR2011",""
"SH.STA.MALN.FE.ZS","CHL","YR2011",""
"SH.STA.MALN.FE.ZS","COL","YR2011",""
"SH.STA.MALN.FE.ZS","BOL","YR2011",""
"SH.STA.MALN.FE.ZS","ECU","YR2011",""
"SH.STA.MALN.FE.ZS","PRY","YR2011",""
"SH.STA.MALN.FE.ZS","PER","YR2011","4.3"
"SH.STA.MALN.FE.ZS","URY","YR2011",""
"SH.STA.MALN.FE.ZS","VEN","YR2011",""
"SH.STA.MALN.MA.ZS","ARG","YR2011",""
"SH.STA.MALN.MA.ZS","BRA","YR2011",""
"SH.STA.MALN.MA.ZS","CHL","YR2011",""
"SH.STA.MALN.MA.ZS","COL","YR2011",""
"SH.STA.MALN.MA.ZS","BOL","YR2011",""
"SH.STA.MALN.MA.ZS","ECU","YR2011",""
"SH.STA.MALN.MA.ZS","PRY","YR2011",""
"SH.STA.MALN.MA.ZS","PER","YR2011","4.1"
"SH.STA.MALN.MA.ZS","URY","YR2011",""
"SH.STA.MALN.MA.ZS","VEN","YR2011",""
"SH.STA.WAST.ZS","ARG","YR2011",""
"SH.STA.WAST.ZS","BRA","YR2011",""
"SH.STA.WAST.ZS","CHL","YR2011",""
"SH.STA.WAST.ZS","COL","YR2011",""
"SH.STA.WAST.ZS","BOL","YR2011",""
"SH.STA.WAST.ZS","ECU","YR2011",""
"SH.STA.WAST.ZS","PRY","YR2011",""
"SH.STA.WAST.ZS","PER","YR2011","0.4"
"SH.STA.WAST.ZS","URY","YR2011","1.3"
"SH.STA.WAST.ZS","VEN","YR2011",""
"SH.STA.WAST.FE.ZS","ARG","YR2011",""
