"SerieId","CountryId","YearId","value"
"SH.STA.BFED.ZS","ARG","YR2017",""
"SH.STA.BFED.ZS","BRA","YR2017",""
"SH.STA.BFED.ZS","CHL","YR2017",""
"SH.STA.BFED.ZS","COL","YR2017",""
"SH.STA.BFED.ZS","BOL","YR2017",""
"SH.STA.BFED.ZS","ECU","YR2017",""
"SH.STA.BFED.ZS","PRY","YR2017",""
"SH.STA.BFED.ZS","PER","YR2017","64.2"
"SH.STA.BFED.ZS","URY","YR2017",""
"SH.STA.BFED.ZS","VEN","YR2017",""
"SH.XPD.EHEX.CH.ZS","ARG","YR2017","0.43379211"
"SH.XPD.EHEX.CH.ZS","BRA","YR2017","0.06623612"
"SH.XPD.EHEX.CH.ZS","CHL","YR2017","0"
"SH.XPD.EHEX.CH.ZS","COL","YR2017",""
"SH.XPD.EHEX.CH.ZS","BOL","YR2017","2.30387139"
"SH.XPD.EHEX.CH.ZS","ECU","YR2017","0.13376011"
"SH.XPD.EHEX.CH.ZS","PRY","YR2017","0.28326315"
"SH.XPD.EHEX.CH.ZS","PER","YR2017","0.24473742"
"SH.XPD.EHEX.CH.ZS","URY","YR2017","0.00677513"
"SH.XPD.EHEX.CH.ZS","VEN","YR2017","0.00358768"
"SH.XPD.EHEX.EH.ZS","ARG","YR2017","99.33779274"
"SH.XPD.EHEX.EH.ZS","BRA","YR2017","88.99195032"
"SH.XPD.EHEX.EH.ZS","CHL","YR2017",""
"SH.XPD.EHEX.EH.ZS","COL","YR2017",""
"SH.XPD.EHEX.EH.ZS","BOL","YR2017","14.44362953"
"SH.XPD.EHEX.EH.ZS","ECU","YR2017","7.642318623"
"SH.XPD.EHEX.EH.ZS","PRY","YR2017","20.33290953"
"SH.XPD.EHEX.EH.ZS","PER","YR2017","6.616721139"
"SH.XPD.EHEX.EH.ZS","URY","YR2017","10.34513789"
"SH.XPD.EHEX.EH.ZS","VEN","YR2017","28.23661677"
"SH.XPD.EHEX.PC.CD","ARG","YR2017","6.63558865"
"SH.XPD.EHEX.PC.CD","BRA","YR2017","0.62286445"
"SH.XPD.EHEX.PC.CD","CHL","YR2017","0"
"SH.XPD.EHEX.PC.CD","COL","YR2017",""
"SH.XPD.EHEX.PC.CD","BOL","YR2017","5.01079771"
"SH.XPD.EHEX.PC.CD","ECU","YR2017","0.61740388"
"SH.XPD.EHEX.PC.CD","PRY","YR2017","1.06313702"
"SH.XPD.EHEX.PC.CD","PER","YR2017","0.81943793"
"SH.XPD.EHEX.PC.CD","URY","YR2017","0.11171346"
"SH.XPD.EHEX.PC.CD","VEN","YR2017","0.01881754"
"SH.XPD.EHEX.PP.CD","ARG","YR2017","10.71514296"
"SH.XPD.EHEX.PP.CD","BRA","YR2017","0.9111855"
"SH.XPD.EHEX.PP.CD","CHL","YR2017","0"
"SH.XPD.EHEX.PP.CD","COL","YR2017",""
"SH.XPD.EHEX.PP.CD","BOL","YR2017","12.59560675"
"SH.XPD.EHEX.PP.CD","ECU","YR2017","1.15441225"
"SH.XPD.EHEX.PP.CD","PRY","YR2017","2.35706718"
"SH.XPD.EHEX.PP.CD","PER","YR2017","1.52720017"
"SH.XPD.EHEX.PP.CD","URY","YR2017","0.13752754"
"SH.XPD.EHEX.PP.CD","VEN","YR2017","0.02113315"
"SP.HOU.FEMA.ZS","ARG","YR2017",""
"SP.HOU.FEMA.ZS","BRA","YR2017",""
"SP.HOU.FEMA.ZS","CHL","YR2017",""
"SP.HOU.FEMA.ZS","COL","YR2017",""
"SP.HOU.FEMA.ZS","BOL","YR2017",""
"SP.HOU.FEMA.ZS","ECU","YR2017",""
"SP.HOU.FEMA.ZS","PRY","YR2017",""
"SP.HOU.FEMA.ZS","PER","YR2017",""
"SP.HOU.FEMA.ZS","URY","YR2017",""
"SP.HOU.FEMA.ZS","VEN","YR2017",""
"SP.DYN.TFRT.IN","ARG","YR2017","2.275"
"SP.DYN.TFRT.IN","BRA","YR2017","1.739"
"SP.DYN.TFRT.IN","CHL","YR2017","1.678"
"SP.DYN.TFRT.IN","COL","YR2017","1.825"
"SP.DYN.TFRT.IN","BOL","YR2017","2.777"
"SP.DYN.TFRT.IN","ECU","YR2017","2.451"
"SP.DYN.TFRT.IN","PRY","YR2017","2.453"
"SP.DYN.TFRT.IN","PER","YR2017","2.275"
"SP.DYN.TFRT.IN","URY","YR2017","1.983"
"SP.DYN.TFRT.IN","VEN","YR2017","2.294"
"NY.GNP.PCAP.CD","ARG","YR2017","13140"
"NY.GNP.PCAP.CD","BRA","YR2017","8680"
"NY.GNP.PCAP.CD","CHL","YR2017","13260"
"NY.GNP.PCAP.CD","COL","YR2017","5940"
"NY.GNP.PCAP.CD","BOL","YR2017","3090"
"NY.GNP.PCAP.CD","ECU","YR2017","5860"
"NY.GNP.PCAP.CD","PRY","YR2017","5370"
"NY.GNP.PCAP.CD","PER","YR2017","6060"
"NY.GNP.PCAP.CD","URY","YR2017","15920"
"NY.GNP.PCAP.CD","VEN","YR2017",""
"SH.MED.BEDS.ZS","ARG","YR2017","4.99"
"SH.MED.BEDS.ZS","BRA","YR2017","2.09"
