"SerieId","CountryId","YearId","value"
"SH.DTH.IMRT.FE","ARG","YR2015","3389"
"SH.DTH.IMRT.FE","BRA","YR2015","18041"
"SH.DTH.IMRT.FE","CHL","YR2015","730"
"SH.DTH.IMRT.FE","COL","YR2015","4266"
"SH.DTH.IMRT.FE","BOL","YR2015","2737"
"SH.DTH.IMRT.FE","ECU","YR2015","1866"
"SH.DTH.IMRT.FE","PRY","YR2015","1171"
"SH.DTH.IMRT.FE","PER","YR2015","3036"
"SH.DTH.IMRT.FE","URY","YR2015","158"
"SH.DTH.IMRT.FE","VEN","YR2015","4000"
"SH.DTH.IMRT.MA","ARG","YR2015","4330"
"SH.DTH.IMRT.MA","BRA","YR2015","24063"
"SH.DTH.IMRT.MA","CHL","YR2015","905"
"SH.DTH.IMRT.MA","COL","YR2015","5630"
"SH.DTH.IMRT.MA","BOL","YR2015","3533"
"SH.DTH.IMRT.MA","ECU","YR2015","2507"
"SH.DTH.IMRT.MA","PRY","YR2015","1512"
"SH.DTH.IMRT.MA","PER","YR2015","3887"
"SH.DTH.IMRT.MA","URY","YR2015","211"
"SH.DTH.IMRT.MA","VEN","YR2015","5242"
"SH.MMR.DTHS","ARG","YR2015","310"
"SH.MMR.DTHS","BRA","YR2015","1900"
"SH.MMR.DTHS","CHL","YR2015","34"
"SH.MMR.DTHS","COL","YR2015","630"
"SH.MMR.DTHS","BOL","YR2015","420"
"SH.MMR.DTHS","ECU","YR2015","210"
"SH.MMR.DTHS","PRY","YR2015","190"
"SH.MMR.DTHS","PER","YR2015","540"
"SH.MMR.DTHS","URY","YR2015","9"
"SH.MMR.DTHS","VEN","YR2015","640"
"SH.DTH.NMRT","ARG","YR2015","4931"
"SH.DTH.NMRT","BRA","YR2015","27998"
"SH.DTH.NMRT","CHL","YR2015","1230"
"SH.DTH.NMRT","COL","YR2015","6266"
"SH.DTH.NMRT","BOL","YR2015","4139"
"SH.DTH.NMRT","ECU","YR2015","2421"
"SH.DTH.NMRT","PRY","YR2015","1691"
"SH.DTH.NMRT","PER","YR2015","4579"
"SH.DTH.NMRT","URY","YR2015","243"
"SH.DTH.NMRT","VEN","YR2015","8075"
"SH.UHC.NOP1.TO","ARG","YR2015",""
"SH.UHC.NOP1.TO","BRA","YR2015",""
"SH.UHC.NOP1.TO","CHL","YR2015",""
"SH.UHC.NOP1.TO","COL","YR2015",""
"SH.UHC.NOP1.TO","BOL","YR2015",""
"SH.UHC.NOP1.TO","ECU","YR2015",""
"SH.UHC.NOP1.TO","PRY","YR2015",""
"SH.UHC.NOP1.TO","PER","YR2015",""
"SH.UHC.NOP1.TO","URY","YR2015",""
"SH.UHC.NOP1.TO","VEN","YR2015",""
"SH.UHC.NOP2.TO","ARG","YR2015",""
"SH.UHC.NOP2.TO","BRA","YR2015",""
"SH.UHC.NOP2.TO","CHL","YR2015",""
"SH.UHC.NOP2.TO","COL","YR2015",""
"SH.UHC.NOP2.TO","BOL","YR2015",""
"SH.UHC.NOP2.TO","ECU","YR2015",""
"SH.UHC.NOP2.TO","PRY","YR2015",""
"SH.UHC.NOP2.TO","PER","YR2015",""
"SH.UHC.NOP2.TO","URY","YR2015",""
"SH.UHC.NOP2.TO","VEN","YR2015",""
"SH.UHC.NOPR.TO","ARG","YR2015",""
"SH.UHC.NOPR.TO","BRA","YR2015",""
"SH.UHC.NOPR.TO","CHL","YR2015",""
"SH.UHC.NOPR.TO","COL","YR2015",""
"SH.UHC.NOPR.TO","BOL","YR2015",""
"SH.UHC.NOPR.TO","ECU","YR2015",""
"SH.UHC.NOPR.TO","PRY","YR2015",""
"SH.UHC.NOPR.TO","PER","YR2015",""
"SH.UHC.NOPR.TO","URY","YR2015",""
"SH.UHC.NOPR.TO","VEN","YR2015",""
"SH.UHC.FBP1.TO","ARG","YR2015",""
"SH.UHC.FBP1.TO","BRA","YR2015",""
"SH.UHC.FBP1.TO","CHL","YR2015",""
"SH.UHC.FBP1.TO","COL","YR2015",""
"SH.UHC.FBP1.TO","BOL","YR2015",""
"SH.UHC.FBP1.TO","ECU","YR2015",""
"SH.UHC.FBP1.TO","PRY","YR2015",""
"SH.UHC.FBP1.TO","PER","YR2015",""
"SH.UHC.FBP1.TO","URY","YR2015",""
"SH.UHC.FBP1.TO","VEN","YR2015",""
"SH.UHC.FBP2.TO","ARG","YR2015",""
"SH.UHC.FBP2.TO","BRA","YR2015",""
"SH.UHC.FBP2.TO","CHL","YR2015",""
"SH.UHC.FBP2.TO","COL","YR2015",""
"SH.UHC.FBP2.TO","BOL","YR2015",""
"SH.UHC.FBP2.TO","ECU","YR2015",""
"SH.UHC.FBP2.TO","PRY","YR2015",""
"SH.UHC.FBP2.TO","PER","YR2015",""
"SH.UHC.FBP2.TO","URY","YR2015",""
"SH.UHC.FBP2.TO","VEN","YR2015",""
"SH.UHC.FBPR.TO","ARG","YR2015",""
"SH.UHC.FBPR.TO","BRA","YR2015",""
"SH.UHC.FBPR.TO","CHL","YR2015",""
"SH.UHC.FBPR.TO","COL","YR2015",""
"SH.UHC.FBPR.TO","BOL","YR2015",""
"SH.UHC.FBPR.TO","ECU","YR2015",""
"SH.UHC.FBPR.TO","PRY","YR2015",""
"SH.UHC.FBPR.TO","PER","YR2015",""
"SH.UHC.FBPR.TO","URY","YR2015",""
"SH.UHC.FBPR.TO","VEN","YR2015",""
"SH.UHC.OOPC.10.TO","ARG","YR2015",""
"SH.UHC.OOPC.10.TO","BRA","YR2015",""
"SH.UHC.OOPC.10.TO","CHL","YR2015",""
"SH.UHC.OOPC.10.TO","COL","YR2015",""
"SH.UHC.OOPC.10.TO","BOL","YR2015",""
"SH.UHC.OOPC.10.TO","ECU","YR2015",""
"SH.UHC.OOPC.10.TO","PRY","YR2015",""
"SH.UHC.OOPC.10.TO","PER","YR2015",""
"SH.UHC.OOPC.10.TO","URY","YR2015",""
"SH.UHC.OOPC.10.TO","VEN","YR2015",""
"SH.UHC.OOPC.25.TO","ARG","YR2015",""
"SH.UHC.OOPC.25.TO","BRA","YR2015",""
"SH.UHC.OOPC.25.TO","CHL","YR2015",""
"SH.UHC.OOPC.25.TO","COL","YR2015",""
"SH.UHC.OOPC.25.TO","BOL","YR2015",""
"SH.UHC.OOPC.25.TO","ECU","YR2015",""
"SH.UHC.OOPC.25.TO","PRY","YR2015",""
"SH.UHC.OOPC.25.TO","PER","YR2015",""
"SH.UHC.OOPC.25.TO","URY","YR2015",""
"SH.UHC.OOPC.25.TO","VEN","YR2015",""
"SN.ITK.DEFC","ARG","YR2015",""
"SN.ITK.DEFC","BRA","YR2015",""
"SN.ITK.DEFC","CHL","YR2015","500000"
"SN.ITK.DEFC","COL","YR2015","3100000"
"SN.ITK.DEFC","BOL","YR2015","1600000"
"SN.ITK.DEFC","ECU","YR2015","1500000"
"SN.ITK.DEFC","PRY","YR2015","500000"
"SN.ITK.DEFC","PER","YR2015","1800000"
"SN.ITK.DEFC","URY","YR2015",""
"SN.ITK.DEFC","VEN","YR2015","3400000"
"SH.DTH.STLB","ARG","YR2015","3871"
"SH.DTH.STLB","BRA","YR2015","24389"
"SH.DTH.STLB","CHL","YR2015","776"
"SH.DTH.STLB","COL","YR2015","5718"
"SH.DTH.STLB","BOL","YR2015","2525"
"SH.DTH.STLB","ECU","YR2015","3182"
"SH.DTH.STLB","PRY","YR2015","1652"
"SH.DTH.STLB","PER","YR2015","4508"
"SH.DTH.STLB","URY","YR2015","234"
"SH.DTH.STLB","VEN","YR2015","5258"
"SH.SGR.PROC.P5","ARG","YR2015",""
"SH.SGR.PROC.P5","BRA","YR2015","13940"
"SH.SGR.PROC.P5","CHL","YR2015",""
"SH.SGR.PROC.P5","COL","YR2015","27385"
"SH.SGR.PROC.P5","BOL","YR2015",""
"SH.SGR.PROC.P5","ECU","YR2015","1552"
"SH.SGR.PROC.P5","PRY","YR2015",""
"SH.SGR.PROC.P5","PER","YR2015",""
"SH.SGR.PROC.P5","URY","YR2015",""
"SH.SGR.PROC.P5","VEN","YR2015",""
"SH.DTH.MORT","ARG","YR2015","8656"
"SH.DTH.MORT","BRA","YR2015","47147"
"SH.DTH.MORT","CHL","YR2015","1920"
"SH.DTH.MORT","COL","YR2015","11518"
"SH.DTH.MORT","BOL","YR2015","7758"
"SH.DTH.MORT","ECU","YR2015","5072"
"SH.DTH.MORT","PRY","YR2015","3150"
