"SerieId","CountryId","YearId","value"
"SP.RUR.TOTL.ZG","ARG","YR2020","-0.53958153"
"SP.RUR.TOTL.ZG","BRA","YR2020","-1.195012398"
"SP.RUR.TOTL.ZG","CHL","YR2020","0.180416791"
"SP.RUR.TOTL.ZG","COL","YR2020","-0.63959468"
"SP.RUR.TOTL.ZG","BOL","YR2020","0.214879892"
"SP.RUR.TOTL.ZG","ECU","YR2020","1.037677716"
"SP.RUR.TOTL.ZG","PRY","YR2020","0.43925198"
"SP.RUR.TOTL.ZG","PER","YR2020","0.501037894"
"SP.RUR.TOTL.ZG","URY","YR2020","-1.619074195"
"SP.RUR.TOTL.ZG","VEN","YR2020","-0.612704824"
"SI.POV.RUHC","ARG","YR2020",""
"SI.POV.RUHC","BRA","YR2020",""
"SI.POV.RUHC","CHL","YR2020",""
"SI.POV.RUHC","COL","YR2020",""
"SI.POV.RUHC","BOL","YR2020",""
"SI.POV.RUHC","ECU","YR2020",""
"SI.POV.RUHC","PRY","YR2020",""
"SI.POV.RUHC","PER","YR2020",""
"SI.POV.RUHC","URY","YR2020",""
"SI.POV.RUHC","VEN","YR2020",""
"SE.PRM.ENRR","ARG","YR2020",""
"SE.PRM.ENRR","BRA","YR2020",""
"SE.PRM.ENRR","CHL","YR2020",""
"SE.PRM.ENRR","COL","YR2020","112.6757736"
"SE.PRM.ENRR","BOL","YR2020","98.84809875"
"SE.PRM.ENRR","ECU","YR2020","99.02365875"
"SE.PRM.ENRR","PRY","YR2020",""
"SE.PRM.ENRR","PER","YR2020","120.9846115"
"SE.PRM.ENRR","URY","YR2020",""
"SE.PRM.ENRR","VEN","YR2020",""
"SE.PRM.NENR","ARG","YR2020",""
"SE.PRM.NENR","BRA","YR2020",""
"SE.PRM.NENR","CHL","YR2020",""
"SE.PRM.NENR","COL","YR2020",""
"SE.PRM.NENR","BOL","YR2020",""
"SE.PRM.NENR","ECU","YR2020",""
"SE.PRM.NENR","PRY","YR2020",""
"SE.PRM.NENR","PER","YR2020",""
"SE.PRM.NENR","URY","YR2020",""
"SE.PRM.NENR","VEN","YR2020",""
"SE.PRM.ENRR.FE","ARG","YR2020",""
"SE.PRM.ENRR.FE","BRA","YR2020",""
"SE.PRM.ENRR.FE","CHL","YR2020",""
"SE.PRM.ENRR.FE","COL","YR2020","110.7126083"
"SE.PRM.ENRR.FE","BOL","YR2020","98.76399994"
"SE.PRM.ENRR.FE","ECU","YR2020","100.0810318"
"SE.PRM.ENRR.FE","PRY","YR2020",""
"SE.PRM.ENRR.FE","PER","YR2020","118.6755295"
"SE.PRM.ENRR.FE","URY","YR2020",""
"SE.PRM.ENRR.FE","VEN","YR2020",""
"SE.PRM.NENR.FE","ARG","YR2020",""
"SE.PRM.NENR.FE","BRA","YR2020",""
"SE.PRM.NENR.FE","CHL","YR2020",""
"SE.PRM.NENR.FE","COL","YR2020",""
"SE.PRM.NENR.FE","BOL","YR2020",""
"SE.PRM.NENR.FE","ECU","YR2020",""
"SE.PRM.NENR.FE","PRY","YR2020",""
"SE.PRM.NENR.FE","PER","YR2020",""
"SE.PRM.NENR.FE","URY","YR2020",""
"SE.PRM.NENR.FE","VEN","YR2020",""
"SE.PRM.ENRR.MA","ARG","YR2020",""
"SE.PRM.ENRR.MA","BRA","YR2020",""
"SE.PRM.ENRR.MA","CHL","YR2020",""
"SE.PRM.ENRR.MA","COL","YR2020","114.5526123"
"SE.PRM.ENRR.MA","BOL","YR2020","98.92865753"
"SE.PRM.ENRR.MA","ECU","YR2020","98.01148224"
"SE.PRM.ENRR.MA","PRY","YR2020",""
"SE.PRM.ENRR.MA","PER","YR2020","123.3125687"
"SE.PRM.ENRR.MA","URY","YR2020",""
"SE.PRM.ENRR.MA","VEN","YR2020",""
"SE.PRM.NENR.MA","ARG","YR2020",""
"SE.PRM.NENR.MA","BRA","YR2020",""
"SE.PRM.NENR.MA","CHL","YR2020",""
"SE.PRM.NENR.MA","COL","YR2020",""
"SE.PRM.NENR.MA","BOL","YR2020",""
"SE.PRM.NENR.MA","ECU","YR2020",""
"SE.PRM.NENR.MA","PRY","YR2020",""
"SE.PRM.NENR.MA","PER","YR2020",""
"SE.PRM.NENR.MA","URY","YR2020",""
"SE.PRM.NENR.MA","VEN","YR2020",""
"SE.SEC.ENRR","ARG","YR2020",""
"SE.SEC.ENRR","BRA","YR2020",""
"SE.SEC.ENRR","CHL","YR2020",""
"SE.SEC.ENRR","COL","YR2020","101.7957611"
"SE.SEC.ENRR","BOL","YR2020","90.21331024"
"SE.SEC.ENRR","ECU","YR2020","100.5603409"
"SE.SEC.ENRR","PRY","YR2020",""
"SE.SEC.ENRR","PER","YR2020","110.5849228"
"SE.SEC.ENRR","URY","YR2020",""
"SE.SEC.ENRR","VEN","YR2020",""
"SE.SEC.NENR","ARG","YR2020",""
"SE.SEC.NENR","BRA","YR2020",""
"SE.SEC.NENR","CHL","YR2020",""
"SE.SEC.NENR","COL","YR2020",""
"SE.SEC.NENR","BOL","YR2020",""
"SE.SEC.NENR","ECU","YR2020",""
"SE.SEC.NENR","PRY","YR2020",""
"SE.SEC.NENR","PER","YR2020",""
"SE.SEC.NENR","URY","YR2020",""
"SE.SEC.NENR","VEN","YR2020",""
"SE.SEC.ENRR.FE","ARG","YR2020",""
"SE.SEC.ENRR.FE","BRA","YR2020",""
"SE.SEC.ENRR.FE","CHL","YR2020",""
"SE.SEC.ENRR.FE","COL","YR2020","103.9836731"
"SE.SEC.ENRR.FE","BOL","YR2020","89.73236084"
"SE.SEC.ENRR.FE","ECU","YR2020","101.8168182"
"SE.SEC.ENRR.FE","PRY","YR2020",""
"SE.SEC.ENRR.FE","PER","YR2020","106.9075165"
"SE.SEC.ENRR.FE","URY","YR2020",""
"SE.SEC.ENRR.FE","VEN","YR2020",""
"SE.SEC.NENR.FE","ARG","YR2020",""
"SE.SEC.NENR.FE","BRA","YR2020",""
"SE.SEC.NENR.FE","CHL","YR2020",""
"SE.SEC.NENR.FE","COL","YR2020",""
"SE.SEC.NENR.FE","BOL","YR2020",""
"SE.SEC.NENR.FE","ECU","YR2020",""
"SE.SEC.NENR.FE","PRY","YR2020",""
"SE.SEC.NENR.FE","PER","YR2020",""
"SE.SEC.NENR.FE","URY","YR2020",""
"SE.SEC.NENR.FE","VEN","YR2020",""
"SE.SEC.ENRR.MA","ARG","YR2020",""
"SE.SEC.ENRR.MA","BRA","YR2020",""
"SE.SEC.ENRR.MA","CHL","YR2020",""
"SE.SEC.ENRR.MA","COL","YR2020","99.69995117"
"SE.SEC.ENRR.MA","BOL","YR2020","90.67476654"
"SE.SEC.ENRR.MA","ECU","YR2020","99.35357666"
"SE.SEC.ENRR.MA","PRY","YR2020",""
"SE.SEC.ENRR.MA","PER","YR2020","114.4115295"
"SE.SEC.ENRR.MA","URY","YR2020",""
"SE.SEC.ENRR.MA","VEN","YR2020",""
"SE.SEC.NENR.MA","ARG","YR2020",""
"SE.SEC.NENR.MA","BRA","YR2020",""
"SE.SEC.NENR.MA","CHL","YR2020",""
"SE.SEC.NENR.MA","COL","YR2020",""
"SE.SEC.NENR.MA","BOL","YR2020",""
"SE.SEC.NENR.MA","ECU","YR2020",""
"SE.SEC.NENR.MA","PRY","YR2020",""
"SE.SEC.NENR.MA","PER","YR2020",""
"SE.SEC.NENR.MA","URY","YR2020",""
"SE.SEC.NENR.MA","VEN","YR2020",""
"SE.TER.ENRR","ARG","YR2020",""
"SE.TER.ENRR","BRA","YR2020",""
"SE.TER.ENRR","CHL","YR2020",""
"SE.TER.ENRR","COL","YR2020","54.23928833"
"SE.TER.ENRR","BOL","YR2020",""
"SE.TER.ENRR","ECU","YR2020",""
"SE.TER.ENRR","PRY","YR2020",""
"SE.TER.ENRR","PER","YR2020",""
"SE.TER.ENRR","URY","YR2020",""
"SE.TER.ENRR","VEN","YR2020",""
"SE.TER.ENRR.FE","ARG","YR2020",""
"SE.TER.ENRR.FE","BRA","YR2020",""
"SE.TER.ENRR.FE","CHL","YR2020",""
"SE.TER.ENRR.FE","COL","YR2020","58.58776093"
"SE.TER.ENRR.FE","BOL","YR2020",""
"SE.TER.ENRR.FE","ECU","YR2020",""
"SE.TER.ENRR.FE","PRY","YR2020",""
"SE.TER.ENRR.FE","PER","YR2020",""
"SE.TER.ENRR.FE","URY","YR2020",""
"SE.TER.ENRR.FE","VEN","YR2020",""
"SP.POP.BRTH.MF","ARG","YR2020","1.04"
"SP.POP.BRTH.MF","BRA","YR2020","1.05"
"SP.POP.BRTH.MF","CHL","YR2020","1.04"
"SP.POP.BRTH.MF","COL","YR2020","1.05"
"SP.POP.BRTH.MF","BOL","YR2020","1.05"
"SP.POP.BRTH.MF","ECU","YR2020","1.05"
"SP.POP.BRTH.MF","PRY","YR2020","1.05"
"SP.POP.BRTH.MF","PER","YR2020","1.05"
"SP.POP.BRTH.MF","URY","YR2020","1.05"
"SP.POP.BRTH.MF","VEN","YR2020","1.05"
"SL.EMP.INSV.FE.ZS","ARG","YR2020",""
"SL.EMP.INSV.FE.ZS","BRA","YR2020",""
"SL.EMP.INSV.FE.ZS","CHL","YR2020",""
"SL.EMP.INSV.FE.ZS","COL","YR2020",""
"SL.EMP.INSV.FE.ZS","BOL","YR2020",""
