"SerieId","CountryId","YearId","value"
"SP.URB.TOTL.IN.ZS","ARG","YR2019","91.991"
"SP.URB.TOTL.IN.ZS","BRA","YR2019","86.824"
"SP.URB.TOTL.IN.ZS","CHL","YR2019","87.643"
"SP.URB.TOTL.IN.ZS","COL","YR2019","81.104"
"SP.URB.TOTL.IN.ZS","BOL","YR2019","69.773"
"SP.URB.TOTL.IN.ZS","ECU","YR2019","63.986"
"SP.URB.TOTL.IN.ZS","PRY","YR2019","61.879"
"SP.URB.TOTL.IN.ZS","PER","YR2019","78.099"
"SP.URB.TOTL.IN.ZS","URY","YR2019","95.426"
"SP.URB.TOTL.IN.ZS","VEN","YR2019","88.24"
"SP.URB.GROW","ARG","YR2019","1.125019726"
"SP.URB.GROW","BRA","YR2019","1.045680166"
"SP.URB.GROW","CHL","YR2019","1.273110895"
"SP.URB.GROW","COL","YR2019","1.759551"
"SP.URB.GROW","BOL","YR2019","1.899151479"
"SP.URB.GROW","ECU","YR2019","1.93737092"
"SP.URB.GROW","PRY","YR2019","1.741490055"
"SP.URB.GROW","PER","YR2019","1.862301093"
"SP.URB.GROW","URY","YR2019","0.456481383"
"SP.URB.GROW","VEN","YR2019","-1.257364158"
"SI.POV.URHC","ARG","YR2019",""
"SI.POV.URHC","BRA","YR2019",""
"SI.POV.URHC","CHL","YR2019",""
"SI.POV.URHC","COL","YR2019",""
"SI.POV.URHC","BOL","YR2019",""
"SI.POV.URHC","ECU","YR2019",""
"SI.POV.URHC","PRY","YR2019",""
"SI.POV.URHC","PER","YR2019",""
"SI.POV.URHC","URY","YR2019",""
"SI.POV.URHC","VEN","YR2019",""
"SH.MLR.NETS.ZS","ARG","YR2019",""
"SH.MLR.NETS.ZS","BRA","YR2019",""
"SH.MLR.NETS.ZS","CHL","YR2019",""
"SH.MLR.NETS.ZS","COL","YR2019",""
"SH.MLR.NETS.ZS","BOL","YR2019",""
"SH.MLR.NETS.ZS","ECU","YR2019",""
"SH.MLR.NETS.ZS","PRY","YR2019",""
"SH.MLR.NETS.ZS","PER","YR2019",""
"SH.MLR.NETS.ZS","URY","YR2019",""
"SH.MLR.NETS.ZS","VEN","YR2019",""
"SN.ITK.VITA.ZS","ARG","YR2019",""
"SN.ITK.VITA.ZS","BRA","YR2019",""
"SN.ITK.VITA.ZS","CHL","YR2019",""
"SN.ITK.VITA.ZS","COL","YR2019",""
"SN.ITK.VITA.ZS","BOL","YR2019",""
"SN.ITK.VITA.ZS","ECU","YR2019",""
"SN.ITK.VITA.ZS","PRY","YR2019",""
"SN.ITK.VITA.ZS","PER","YR2019",""
"SN.ITK.VITA.ZS","URY","YR2019",""
"SN.ITK.VITA.ZS","VEN","YR2019",""
"SP.DYN.WFRT","ARG","YR2019",""
"SP.DYN.WFRT","BRA","YR2019",""
"SP.DYN.WFRT","CHL","YR2019",""
"SP.DYN.WFRT","COL","YR2019",""
"SP.DYN.WFRT","BOL","YR2019",""
"SP.DYN.WFRT","ECU","YR2019",""
