"SerieId","CountryId","YearId","value"
"SP.ADO.TFRT","ARG","YR2010","63.3154"
"SP.ADO.TFRT","BRA","YR2010","66.8926"
"SP.ADO.TFRT","CHL","YR2010","54.3068"
"SP.ADO.TFRT","COL","YR2010","76.8484"
"SP.ADO.TFRT","BOL","YR2010","76.5038"
"SP.ADO.TFRT","ECU","YR2010","83.0816"
"SP.ADO.TFRT","PRY","YR2010","75.0962"
"SP.ADO.TFRT","PER","YR2010","66.0112"
"SP.ADO.TFRT","URY","YR2010","60.833"
"SP.ADO.TFRT","VEN","YR2010","88.6516"
"SH.HIV.TOTL","ARG","YR2010","100000"
"SH.HIV.TOTL","BRA","YR2010","640000"
"SH.HIV.TOTL","CHL","YR2010","36000"
"SH.HIV.TOTL","COL","YR2010","120000"
"SH.HIV.TOTL","BOL","YR2010","12000"
"SH.HIV.TOTL","ECU","YR2010","31000"
"SH.HIV.TOTL","PRY","YR2010","15000"
"SH.HIV.TOTL","PER","YR2010","59000"
"SH.HIV.TOTL","URY","YR2010","7600"
"SH.HIV.TOTL","VEN","YR2010","110000"
"SH.HIV.INCD.TL","ARG","YR2010","6100"
"SH.HIV.INCD.TL","BRA","YR2010","47000"
"SH.HIV.INCD.TL","CHL","YR2010","3100"
"SH.HIV.INCD.TL","COL","YR2010","10000"
"SH.HIV.INCD.TL","BOL","YR2010","1000"
"SH.HIV.INCD.TL","ECU","YR2010","2500"
"SH.HIV.INCD.TL","PRY","YR2010","1000"
"SH.HIV.INCD.TL","PER","YR2010","4200"
"SH.HIV.INCD.TL","URY","YR2010","600"
"SH.HIV.INCD.TL","VEN","YR2010","6500"
"SH.DYN.AIDS","ARG","YR2010","99000"
"SH.DYN.AIDS","BRA","YR2010",""
"SH.DYN.AIDS","CHL","YR2010","36000"
"SH.DYN.AIDS","COL","YR2010","120000"
"SH.DYN.AIDS","BOL","YR2010","11000"
"SH.DYN.AIDS","ECU","YR2010","30000"
"SH.DYN.AIDS","PRY","YR2010","15000"
"SH.DYN.AIDS","PER","YR2010","57000"
"SH.DYN.AIDS","URY","YR2010","7400"
"SH.DYN.AIDS","VEN","YR2010","110000"
"SH.HIV.INCD","ARG","YR2010","5500"
"SH.HIV.INCD","BRA","YR2010",""
"SH.HIV.INCD","CHL","YR2010","2800"
"SH.HIV.INCD","COL","YR2010","9500"
"SH.HIV.INCD","BOL","YR2010","1000"
"SH.HIV.INCD","ECU","YR2010","2200"
"SH.HIV.INCD","PRY","YR2010","1000"
"SH.HIV.INCD","PER","YR2010","3800"
"SH.HIV.INCD","URY","YR2010","1000"
"SH.HIV.INCD","VEN","YR2010","5600"
"SP.DYN.SMAM.FE","ARG","YR2010","24.6"
"SP.DYN.SMAM.FE","BRA","YR2010","23.9"
"SP.DYN.SMAM.FE","CHL","YR2010",""
"SP.DYN.SMAM.FE","COL","YR2010","22.3"
"SP.DYN.SMAM.FE","BOL","YR2010",""
"SP.DYN.SMAM.FE","ECU","YR2010","21.8"
"SP.DYN.SMAM.FE","PRY","YR2010",""
"SP.DYN.SMAM.FE","PER","YR2010","23.1"
"SP.DYN.SMAM.FE","URY","YR2010",""
"SP.DYN.SMAM.FE","VEN","YR2010",""
"SP.DYN.SMAM.MA","ARG","YR2010","26.6"
"SP.DYN.SMAM.MA","BRA","YR2010","26.8"
"SP.DYN.SMAM.MA","CHL","YR2010",""
"SP.DYN.SMAM.MA","COL","YR2010","26.8"
"SP.DYN.SMAM.MA","BOL","YR2010",""
"SP.DYN.SMAM.MA","ECU","YR2010","25"
"SP.DYN.SMAM.MA","PRY","YR2010",""
"SP.DYN.SMAM.MA","PER","YR2010","27.8"
"SP.DYN.SMAM.MA","URY","YR2010",""
"SP.DYN.SMAM.MA","VEN","YR2010",""
"SP.POP.DPND","ARG","YR2010","56.81596915"
"SP.POP.DPND","BRA","YR2010","46.29330005"
"SP.POP.DPND","CHL","YR2010","45.86575964"
"SP.POP.DPND","COL","YR2010","51.18287185"
"SP.POP.DPND","BOL","YR2010","68.36909652"
"SP.POP.DPND","ECU","YR2010","58.81326522"
"SP.POP.DPND","PRY","YR2010","61.70063156"
"SP.POP.DPND","PER","YR2010","57.0124509"
"SP.POP.DPND","URY","YR2010","56.74945231"
"SP.POP.DPND","VEN","YR2010","54.97948071"
"SP.POP.DPND.OL","ARG","YR2010","15.98742733"
"SP.POP.DPND.OL","BRA","YR2010","9.978387101"
"SP.POP.DPND.OL","CHL","YR2010","13.65602726"
"SP.POP.DPND.OL","COL","YR2010","9.957535928"
"SP.POP.DPND.OL","BOL","YR2010","10.29941213"
"SP.POP.DPND.OL","ECU","YR2010","9.521963112"
"SP.POP.DPND.OL","PRY","YR2010","8.443865991"
"SP.POP.DPND.OL","PER","YR2010","9.759349857"
"SP.POP.DPND.OL","URY","YR2010","21.94733293"
"SP.POP.DPND.OL","VEN","YR2010","8.629012425"
"SP.POP.DPND.YG","ARG","YR2010","40.82854182"
"SP.POP.DPND.YG","BRA","YR2010","36.31491295"
"SP.POP.DPND.YG","CHL","YR2010","32.20973238"
"SP.POP.DPND.YG","COL","YR2010","41.22533592"
"SP.POP.DPND.YG","BOL","YR2010","58.06968439"
"SP.POP.DPND.YG","ECU","YR2010","49.29130211"
"SP.POP.DPND.YG","PRY","YR2010","53.25676557"
"SP.POP.DPND.YG","PER","YR2010","47.25310104"
"SP.POP.DPND.YG","URY","YR2010","34.80211937"
"SP.POP.DPND.YG","VEN","YR2010","46.35046828"
"SP.POP.AG00.FE.IN","ARG","YR2010","354424"
"SP.POP.AG00.FE.IN","BRA","YR2010","1424464"
"SP.POP.AG00.FE.IN","CHL","YR2010","124836"
"SP.POP.AG00.FE.IN","COL","YR2010","352768"
"SP.POP.AG00.FE.IN","BOL","YR2010","116409"
"SP.POP.AG00.FE.IN","ECU","YR2010","154329"
"SP.POP.AG00.FE.IN","PRY","YR2010","70110"
"SP.POP.AG00.FE.IN","PER","YR2010","310588"
"SP.POP.AG00.FE.IN","URY","YR2010","22625"
"SP.POP.AG00.FE.IN","VEN","YR2010","283385"
"SP.POP.AG00.MA.IN","ARG","YR2010","368095"
"SP.POP.AG00.MA.IN","BRA","YR2010","1488873"
"SP.POP.AG00.MA.IN","CHL","YR2010","129681"
"SP.POP.AG00.MA.IN","COL","YR2010","368872"
"SP.POP.AG00.MA.IN","BOL","YR2010","121801"
"SP.POP.AG00.MA.IN","ECU","YR2010","161722"
"SP.POP.AG00.MA.IN","PRY","YR2010","73397"
"SP.POP.AG00.MA.IN","PER","YR2010","315509"
"SP.POP.AG00.MA.IN","URY","YR2010","23697"
"SP.POP.AG00.MA.IN","VEN","YR2010","296942"
"SP.POP.AG01.FE.IN","ARG","YR2010","354659"
"SP.POP.AG01.FE.IN","BRA","YR2010","1443585"
"SP.POP.AG01.FE.IN","CHL","YR2010","121595"
"SP.POP.AG01.FE.IN","COL","YR2010","365401"
"SP.POP.AG01.FE.IN","BOL","YR2010","116747"
"SP.POP.AG01.FE.IN","ECU","YR2010","153050"
"SP.POP.AG01.FE.IN","PRY","YR2010","68084"
"SP.POP.AG01.FE.IN","PER","YR2010","301321"
"SP.POP.AG01.FE.IN","URY","YR2010","22887"
"SP.POP.AG01.FE.IN","VEN","YR2010","283882"
"SP.POP.AG01.MA.IN","ARG","YR2010","368081"
"SP.POP.AG01.MA.IN","BRA","YR2010","1506751"
"SP.POP.AG01.MA.IN","CHL","YR2010","126276"
"SP.POP.AG01.MA.IN","COL","YR2010","382124"
"SP.POP.AG01.MA.IN","BOL","YR2010","122058"
"SP.POP.AG01.MA.IN","ECU","YR2010","160174"
"SP.POP.AG01.MA.IN","PRY","YR2010","71184"
"SP.POP.AG01.MA.IN","PER","YR2010","309414"
"SP.POP.AG01.MA.IN","URY","YR2010","23979"
"SP.POP.AG01.MA.IN","VEN","YR2010","297151"
