"SerieId","CountryId","YearId","value"
"SP.POP.AG10.MA.IN","ARG","YR2019","367940"
"SP.POP.AG10.MA.IN","BRA","YR2019","1503735"
"SP.POP.AG10.MA.IN","CHL","YR2019","128013"
"SP.POP.AG10.MA.IN","COL","YR2019","388395"
"SP.POP.AG10.MA.IN","BOL","YR2019","119120"
"SP.POP.AG10.MA.IN","ECU","YR2019","159313"
"SP.POP.AG10.MA.IN","PRY","YR2019","69677"
"SP.POP.AG10.MA.IN","PER","YR2019","276883"
"SP.POP.AG10.MA.IN","URY","YR2019","23719"
"SP.POP.AG10.MA.IN","VEN","YR2019","275429"
"SP.POP.AG11.FE.IN","ARG","YR2019","352634"
"SP.POP.AG11.FE.IN","BRA","YR2019","1455879"
"SP.POP.AG11.FE.IN","CHL","YR2019","122897"
"SP.POP.AG11.FE.IN","COL","YR2019","376799"
"SP.POP.AG11.FE.IN","BOL","YR2019","113775"
"SP.POP.AG11.FE.IN","ECU","YR2019","151756"
"SP.POP.AG11.FE.IN","PRY","YR2019","66557"
"SP.POP.AG11.FE.IN","PER","YR2019","283029"
"SP.POP.AG11.FE.IN","URY","YR2019","22657"
"SP.POP.AG11.FE.IN","VEN","YR2019","260466"
"SP.POP.AG11.MA.IN","ARG","YR2019","365651"
"SP.POP.AG11.MA.IN","BRA","YR2019","1516324"
"SP.POP.AG11.MA.IN","CHL","YR2019","127250"
"SP.POP.AG11.MA.IN","COL","YR2019","393664"
"SP.POP.AG11.MA.IN","BOL","YR2019","118698"
"SP.POP.AG11.MA.IN","ECU","YR2019","158470"
"SP.POP.AG11.MA.IN","PRY","YR2019","69509"
"SP.POP.AG11.MA.IN","PER","YR2019","277191"
"SP.POP.AG11.MA.IN","URY","YR2019","23744"
"SP.POP.AG11.MA.IN","VEN","YR2019","272448"
"SP.POP.AG12.FE.IN","ARG","YR2019","351340"
"SP.POP.AG12.FE.IN","BRA","YR2019","1479148"
"SP.POP.AG12.FE.IN","CHL","YR2019","122135"
"SP.POP.AG12.FE.IN","COL","YR2019","384067"
"SP.POP.AG12.FE.IN","BOL","YR2019","113531"
"SP.POP.AG12.FE.IN","ECU","YR2019","151633"
"SP.POP.AG12.FE.IN","PRY","YR2019","66117"
"SP.POP.AG12.FE.IN","PER","YR2019","278340"
"SP.POP.AG12.FE.IN","URY","YR2019","22856"
"SP.POP.AG12.FE.IN","VEN","YR2019","258888"
"SP.POP.AG12.MA.IN","ARG","YR2019","364232"
"SP.POP.AG12.MA.IN","BRA","YR2019","1539395"
"SP.POP.AG12.MA.IN","CHL","YR2019","126445"
"SP.POP.AG12.MA.IN","COL","YR2019","401194"
"SP.POP.AG12.MA.IN","BOL","YR2019","118411"
"SP.POP.AG12.MA.IN","ECU","YR2019","158243"
"SP.POP.AG12.MA.IN","PRY","YR2019","69065"
"SP.POP.AG12.MA.IN","PER","YR2019","272075"
"SP.POP.AG12.MA.IN","URY","YR2019","23943"
"SP.POP.AG12.MA.IN","VEN","YR2019","270789"
"SP.POP.AG13.FE.IN","ARG","YR2019","350604"
"SP.POP.AG13.FE.IN","BRA","YR2019","1508830"
"SP.POP.AG13.FE.IN","CHL","YR2019","121482"
"SP.POP.AG13.FE.IN","COL","YR2019","392601"
"SP.POP.AG13.FE.IN","BOL","YR2019","113327"
"SP.POP.AG13.FE.IN","ECU","YR2019","151942"
"SP.POP.AG13.FE.IN","PRY","YR2019","65532"
"SP.POP.AG13.FE.IN","PER","YR2019","269896"
"SP.POP.AG13.FE.IN","URY","YR2019","23180"
"SP.POP.AG13.FE.IN","VEN","YR2019","257926"
"SP.POP.AG13.MA.IN","ARG","YR2019","363371"
"SP.POP.AG13.MA.IN","BRA","YR2019","1569213"
"SP.POP.AG13.MA.IN","CHL","YR2019","125749"
"SP.POP.AG13.MA.IN","COL","YR2019","410067"
"SP.POP.AG13.MA.IN","BOL","YR2019","118162"
"SP.POP.AG13.MA.IN","ECU","YR2019","158431"
"SP.POP.AG13.MA.IN","PRY","YR2019","68476"
"SP.POP.AG13.MA.IN","PER","YR2019","263679"
"SP.POP.AG13.MA.IN","URY","YR2019","24256"
"SP.POP.AG13.MA.IN","VEN","YR2019","269670"
"SP.POP.AG14.FE.IN","ARG","YR2019","349889"
"SP.POP.AG14.FE.IN","BRA","YR2019","1538159"
"SP.POP.AG14.FE.IN","CHL","YR2019","120910"
"SP.POP.AG14.FE.IN","COL","YR2019","401142"
"SP.POP.AG14.FE.IN","BOL","YR2019","113039"
"SP.POP.AG14.FE.IN","ECU","YR2019","152209"
"SP.POP.AG14.FE.IN","PRY","YR2019","64958"
"SP.POP.AG14.FE.IN","PER","YR2019","262088"
"SP.POP.AG14.FE.IN","URY","YR2019","23502"
"SP.POP.AG14.FE.IN","VEN","YR2019","256326"
"SP.POP.AG14.MA.IN","ARG","YR2019","362499"
"SP.POP.AG14.MA.IN","BRA","YR2019","1598463"
"SP.POP.AG14.MA.IN","CHL","YR2019","125138"
"SP.POP.AG14.MA.IN","COL","YR2019","418892"
"SP.POP.AG14.MA.IN","BOL","YR2019","117819"
"SP.POP.AG14.MA.IN","ECU","YR2019","158564"
"SP.POP.AG14.MA.IN","PRY","YR2019","67902"
"SP.POP.AG14.MA.IN","PER","YR2019","256094"
"SP.POP.AG14.MA.IN","URY","YR2019","24565"
"SP.POP.AG14.MA.IN","VEN","YR2019","267818"
"SP.POP.AG15.FE.IN","ARG","YR2019","349406"
"SP.POP.AG15.FE.IN","BRA","YR2019","1567708"
"SP.POP.AG15.FE.IN","CHL","YR2019","120303"
"SP.POP.AG15.FE.IN","COL","YR2019","409986"
"SP.POP.AG15.FE.IN","BOL","YR2019","112712"
"SP.POP.AG15.FE.IN","ECU","YR2019","152436"
"SP.POP.AG15.FE.IN","PRY","YR2019","64280"
"SP.POP.AG15.FE.IN","PER","YR2019","253410"
"SP.POP.AG15.FE.IN","URY","YR2019","23843"
"SP.POP.AG15.FE.IN","VEN","YR2019","254755"
"SP.POP.AG15.MA.IN","ARG","YR2019","361833"
"SP.POP.AG15.MA.IN","BRA","YR2019","1627832"
"SP.POP.AG15.MA.IN","CHL","YR2019","124496"
"SP.POP.AG15.MA.IN","COL","YR2019","428004"
"SP.POP.AG15.MA.IN","BOL","YR2019","117436"
"SP.POP.AG15.MA.IN","ECU","YR2019","158636"
"SP.POP.AG15.MA.IN","PRY","YR2019","67220"
"SP.POP.AG15.MA.IN","PER","YR2019","248439"
"SP.POP.AG15.MA.IN","URY","YR2019","24895"
"SP.POP.AG15.MA.IN","VEN","YR2019","265968"
"SP.POP.AG16.FE.IN","ARG","YR2019","348588"
"SP.POP.AG16.FE.IN","BRA","YR2019","1596117"
"SP.POP.AG16.FE.IN","CHL","YR2019","120847"
"SP.POP.AG16.FE.IN","COL","YR2019","417334"
"SP.POP.AG16.FE.IN","BOL","YR2019","112093"
"SP.POP.AG16.FE.IN","ECU","YR2019","152803"
"SP.POP.AG16.FE.IN","PRY","YR2019","64034"
"SP.POP.AG16.FE.IN","PER","YR2019","249331"
"SP.POP.AG16.FE.IN","URY","YR2019","24147"
"SP.POP.AG16.FE.IN","VEN","YR2019","251270"
"SP.POP.AG16.MA.IN","ARG","YR2019","360770"
"SP.POP.AG16.MA.IN","BRA","YR2019","1655488"
"SP.POP.AG16.MA.IN","CHL","YR2019","125020"
"SP.POP.AG16.MA.IN","COL","YR2019","435384"
"SP.POP.AG16.MA.IN","BOL","YR2019","116714"
"SP.POP.AG16.MA.IN","ECU","YR2019","158864"
"SP.POP.AG16.MA.IN","PRY","YR2019","66984"
"SP.POP.AG16.MA.IN","PER","YR2019","243076"
"SP.POP.AG16.MA.IN","URY","YR2019","25180"
"SP.POP.AG16.MA.IN","VEN","YR2019","261781"
"SP.POP.AG17.FE.IN","ARG","YR2019","347128"
"SP.POP.AG17.FE.IN","BRA","YR2019","1621768"
"SP.POP.AG17.FE.IN","CHL","YR2019","123093"
"SP.POP.AG17.FE.IN","COL","YR2019","422172"
"SP.POP.AG17.FE.IN","BOL","YR2019","111048"
"SP.POP.AG17.FE.IN","ECU","YR2019","153320"
"SP.POP.AG17.FE.IN","PRY","YR2019","64475"
"SP.POP.AG17.FE.IN","PER","YR2019","252815"
"SP.POP.AG17.FE.IN","URY","YR2019","24371"
"SP.POP.AG17.FE.IN","VEN","YR2019","244916"
"SP.POP.AG17.MA.IN","ARG","YR2019","358986"
"SP.POP.AG17.MA.IN","BRA","YR2019","1679522"
"SP.POP.AG17.MA.IN","CHL","YR2019","127263"
"SP.POP.AG17.MA.IN","COL","YR2019","439903"
"SP.POP.AG17.MA.IN","BOL","YR2019","115497"
"SP.POP.AG17.MA.IN","ECU","YR2019","159278"
"SP.POP.AG17.MA.IN","PRY","YR2019","67457"
"SP.POP.AG17.MA.IN","PER","YR2019","241576"
"SP.POP.AG17.MA.IN","URY","YR2019","25376"
"SP.POP.AG17.MA.IN","VEN","YR2019","254122"
"SP.POP.AG18.FE.IN","ARG","YR2019","345376"
"SP.POP.AG18.FE.IN","BRA","YR2019","1644656"
"SP.POP.AG18.FE.IN","CHL","YR2019","126507"
"SP.POP.AG18.FE.IN","COL","YR2019","425238"
"SP.POP.AG18.FE.IN","BOL","YR2019","109696"
"SP.POP.AG18.FE.IN","ECU","YR2019","153855"
"SP.POP.AG18.FE.IN","PRY","YR2019","65316"
"SP.POP.AG18.FE.IN","PER","YR2019","261015"
"SP.POP.AG18.FE.IN","URY","YR2019","24540"
"SP.POP.AG18.FE.IN","VEN","YR2019","236905"
"SP.POP.AG18.MA.IN","ARG","YR2019","356840"
"SP.POP.AG18.MA.IN","BRA","YR2019","1700130"
"SP.POP.AG18.MA.IN","CHL","YR2019","130692"
"SP.POP.AG18.MA.IN","COL","YR2019","442392"
"SP.POP.AG18.MA.IN","BOL","YR2019","113927"
"SP.POP.AG18.MA.IN","ECU","YR2019","159718"
"SP.POP.AG18.MA.IN","PRY","YR2019","68341"
"SP.POP.AG18.MA.IN","PER","YR2019","242802"
"SP.POP.AG18.MA.IN","URY","YR2019","25510"
